day,time,end_use_type,value
Constant,1900-01-01 05:30:00,Prozesskälte,1
Constant,1900-01-01 05:30:00,Prozesswärme,1
Constant,1900-01-01 05:30:00,Raumwärme,1
Constant,1900-01-01 05:30:00,Warmwasser,1
Constant,1900-01-01 05:45:00,Beleuchtung,1
Constant,1900-01-01 05:45:00,IKT,1
Constant,1900-01-01 05:45:00,Klimakälte,1
Constant,1900-01-01 05:45:00,mechanische Antriebe,1
Constant,1900-01-01 05:45:00,Prozesskälte,1
Constant,1900-01-01 05:45:00,Prozesswärme,1
Constant,1900-01-01 05:45:00,Raumwärme,1
Constant,1900-01-01 05:45:00,Warmwasser,1
Constant,1900-01-01 06:00:00,Beleuchtung,1
Constant,1900-01-01 06:00:00,IKT,1
Constant,1900-01-01 06:00:00,Klimakälte,1
Constant,1900-01-01 06:00:00,mechanische Antriebe,1
Constant,1900-01-01 06:00:00,Prozesskälte,1
Constant,1900-01-01 06:00:00,Prozesswärme,1
Constant,1900-01-01 06:00:00,Raumwärme,1
Constant,1900-01-01 06:00:00,Warmwasser,1
Constant,1900-01-01 06:15:00,Beleuchtung,1
Constant,1900-01-01 06:15:00,IKT,1
Constant,1900-01-01 06:15:00,Klimakälte,1
Constant,1900-01-01 06:15:00,mechanische Antriebe,1
Constant,1900-01-01 06:15:00,Prozesskälte,1
Constant,1900-01-01 06:15:00,Prozesswärme,1
Constant,1900-01-01 06:15:00,Raumwärme,1
Constant,1900-01-01 06:15:00,Warmwasser,1
Constant,1900-01-01 06:30:00,Beleuchtung,1
Constant,1900-01-01 06:30:00,IKT,1
Constant,1900-01-01 06:30:00,Klimakälte,1
Constant,1900-01-01 06:30:00,mechanische Antriebe,1
Constant,1900-01-01 06:30:00,Prozesskälte,1
Constant,1900-01-01 06:30:00,Prozesswärme,1
Constant,1900-01-01 06:30:00,Raumwärme,1
Constant,1900-01-01 06:30:00,Warmwasser,1
Constant,1900-01-01 06:45:00,Beleuchtung,1
Constant,1900-01-01 06:45:00,IKT,1
Constant,1900-01-01 06:45:00,Klimakälte,1
Constant,1900-01-01 06:45:00,mechanische Antriebe,1
Constant,1900-01-01 06:45:00,Prozesskälte,1
Constant,1900-01-01 06:45:00,Prozesswärme,1
Constant,1900-01-01 06:45:00,Raumwärme,1
Constant,1900-01-01 06:45:00,Warmwasser,1
Constant,1900-01-01 07:00:00,Beleuchtung,1
Constant,1900-01-01 07:00:00,IKT,1
Constant,1900-01-01 07:00:00,Klimakälte,1
Constant,1900-01-01 07:00:00,mechanische Antriebe,1
Constant,1900-01-01 07:00:00,Prozesskälte,1
Constant,1900-01-01 07:00:00,Prozesswärme,1
Constant,1900-01-01 07:00:00,Raumwärme,1
Constant,1900-01-01 07:00:00,Warmwasser,1
Constant,1900-01-01 07:15:00,Beleuchtung,1
Constant,1900-01-01 07:15:00,IKT,1
Constant,1900-01-01 07:15:00,Klimakälte,1
Constant,1900-01-01 07:15:00,mechanische Antriebe,1
Constant,1900-01-01 07:15:00,Prozesskälte,1
Constant,1900-01-01 07:15:00,Prozesswärme,1
Constant,1900-01-01 07:15:00,Raumwärme,1
Constant,1900-01-01 07:15:00,Warmwasser,1
Constant,1900-01-01 07:30:00,Beleuchtung,1
Constant,1900-01-01 07:30:00,IKT,1
Constant,1900-01-01 07:30:00,Klimakälte,1
Constant,1900-01-01 07:30:00,mechanische Antriebe,1
Constant,1900-01-01 07:30:00,Prozesskälte,1
Constant,1900-01-01 07:30:00,Prozesswärme,1
Constant,1900-01-01 07:30:00,Raumwärme,1
Constant,1900-01-01 07:30:00,Warmwasser,1
Constant,1900-01-01 07:45:00,Beleuchtung,1
Constant,1900-01-01 07:45:00,IKT,1
Constant,1900-01-01 07:45:00,Klimakälte,1
Constant,1900-01-01 07:45:00,mechanische Antriebe,1
Constant,1900-01-01 07:45:00,Prozesskälte,1
Constant,1900-01-01 07:45:00,Prozesswärme,1
Constant,1900-01-01 07:45:00,Raumwärme,1
Constant,1900-01-01 07:45:00,Warmwasser,1
Constant,1900-01-01 08:00:00,Beleuchtung,1
Constant,1900-01-01 08:00:00,IKT,1
Constant,1900-01-01 08:00:00,Klimakälte,1
Constant,1900-01-01 08:00:00,mechanische Antriebe,1
Constant,1900-01-01 08:00:00,Prozesskälte,1
Constant,1900-01-01 08:00:00,Prozesswärme,1
Constant,1900-01-01 08:00:00,Raumwärme,1
Constant,1900-01-01 08:00:00,Warmwasser,1
Constant,1900-01-01 08:15:00,Beleuchtung,1
Constant,1900-01-01 08:15:00,IKT,1
Constant,1900-01-01 08:15:00,Klimakälte,1
Constant,1900-01-01 08:15:00,mechanische Antriebe,1
Constant,1900-01-01 08:15:00,Prozesskälte,1
Constant,1900-01-01 08:15:00,Prozesswärme,1
Constant,1900-01-01 08:15:00,Raumwärme,1
Constant,1900-01-01 08:15:00,Warmwasser,1
Constant,1900-01-01 08:30:00,Beleuchtung,1
Constant,1900-01-01 08:30:00,IKT,1
Constant,1900-01-01 08:30:00,Klimakälte,1
Constant,1900-01-01 08:30:00,mechanische Antriebe,1
Constant,1900-01-01 08:30:00,Prozesskälte,1
Constant,1900-01-01 08:30:00,Prozesswärme,1
Constant,1900-01-01 08:30:00,Raumwärme,1
Constant,1900-01-01 08:30:00,Warmwasser,1
Constant,1900-01-01 08:45:00,Beleuchtung,1
Constant,1900-01-01 08:45:00,IKT,1
Constant,1900-01-01 08:45:00,Klimakälte,1
Constant,1900-01-01 08:45:00,mechanische Antriebe,1
Constant,1900-01-01 08:45:00,Prozesskälte,1
Constant,1900-01-01 08:45:00,Prozesswärme,1
Constant,1900-01-01 08:45:00,Raumwärme,1
Constant,1900-01-01 08:45:00,Warmwasser,1
Constant,1900-01-01 09:00:00,Beleuchtung,1
Constant,1900-01-01 09:00:00,IKT,1
Constant,1900-01-01 09:00:00,Klimakälte,1
Constant,1900-01-01 09:00:00,mechanische Antriebe,1
Constant,1900-01-01 09:00:00,Prozesskälte,1
Constant,1900-01-01 09:00:00,Prozesswärme,1
Constant,1900-01-01 09:00:00,Raumwärme,1
Constant,1900-01-01 09:00:00,Warmwasser,1
Constant,1900-01-01 09:15:00,Beleuchtung,1
Constant,1900-01-01 09:15:00,IKT,1
Constant,1900-01-01 09:15:00,Klimakälte,1
Constant,1900-01-01 09:15:00,mechanische Antriebe,1
Constant,1900-01-01 09:15:00,Prozesskälte,1
Constant,1900-01-01 09:15:00,Prozesswärme,1
Constant,1900-01-01 09:15:00,Raumwärme,1
Constant,1900-01-01 09:15:00,Warmwasser,1
Constant,1900-01-01 09:30:00,Beleuchtung,1
Constant,1900-01-01 09:30:00,IKT,1
Constant,1900-01-01 09:30:00,Klimakälte,1
Constant,1900-01-01 09:30:00,mechanische Antriebe,1
Constant,1900-01-01 09:30:00,Prozesskälte,1
Constant,1900-01-01 09:30:00,Prozesswärme,1
Constant,1900-01-01 09:30:00,Raumwärme,1
Constant,1900-01-01 09:30:00,Warmwasser,1
Constant,1900-01-01 09:45:00,Beleuchtung,1
Constant,1900-01-01 09:45:00,IKT,1
Constant,1900-01-01 09:45:00,Klimakälte,1
Constant,1900-01-01 09:45:00,mechanische Antriebe,1
Constant,1900-01-01 09:45:00,Prozesskälte,1
Constant,1900-01-01 09:45:00,Prozesswärme,1
Constant,1900-01-01 09:45:00,Raumwärme,1
Constant,1900-01-01 09:45:00,Warmwasser,1
Constant,1900-01-01 10:00:00,Beleuchtung,1
Constant,1900-01-01 10:00:00,IKT,1
Constant,1900-01-01 10:00:00,Klimakälte,1
Constant,1900-01-01 10:00:00,mechanische Antriebe,1
Constant,1900-01-01 10:00:00,Prozesskälte,1
Constant,1900-01-01 10:00:00,Prozesswärme,1
